Estuary,Sampling site,"2,4,5-T",Triclopyr,Trifloxysulfuron,Trinexapac (acid),"2,4-D","2,4-DB","2,4-DP (Dichlorprop)","3,4-Dichloroaniline",Acetamiprid,Acifluorfen,Ametryn,Amicarbazone,Asulam,Atrazine,Atrazine2.hydroxy,Bromacil,Bromoxynil,Chlorpyrifos,Chlorpyrifos oxon,Clomazone,Clothianidin,Cyanazine,"Dalapon (2,2-DPA)",DCPMU,DCPU,Desethyl Atrazine ,Desisopropyl Atrazine,Diazinon,Dicamba,Dinotefuran,Diuron,Ethametsulfuron methyl,Ethoxysulfuron,Fipronil,Fipronil Desulfinyl,Fipronil sulfide,Fipronil sulfone,Flamprop-methyl,Fluazifop (acid),Fluometuron,Fluroxypyr,Flusilazole ,Flutriafol,Halosulfuron methyl,Haloxyfop (acid),Hexazinone,Imazapic,Imazapyr,Imazethapyr,Imidacloprid,Imidacloprid metabolites,Ioxynil,Isoxaflutole metabolite (DKN),MCPA,MCPB,Mecoprop,Mesosulfuron methyl,Methoxyfenozide,Metolachlor,Metolachlor-OXA,Metribuzin,Metsulfuron methyl,Molinate,N-Desmethyl Acetamiprid,Napropamide,Pendimethalin,Picloram ,Prometryn,Propachlor,Propazin-2-hydroxy,Propoxur,Sethoxydim,Simazine,Sulfosulfuron,Tebuthiuron,Terbuthylazine,Terbuthylazine desethyl,Terbutryn,Thiacloprid,Thiamethoxam,msPAF_Total
Gregory River,GR_S01,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.002323038
Gregory River,GR_S02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Gregory River,GR_S03,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.002323038
Gregory River,GR_S04,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.002323038
Gregory River,GR_S05,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.002323038
Gregory River,GR_S06,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.002323038
Gregory River,GR_S07,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.002323038
Gregory River,GR_S08,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.002323038
Gregory River,GR_S09,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.002323038
Gregory River,GR_S10,0.02,0.05,0.05,0.1,0.02,0.05,0.05,0.02,0.01,0.02,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.05,0.01,0.2,0.02,0.02,0.01,0.02,0.01,0.05,0.05,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.05,0.02,0.05,0.02,0.05,0.05,0.02,0.02,0.01,0.01,0.05,0.02,0.05,0.02,0.01,0.01,0.02,0.2,0.02,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.002323038
